ACCESSION,CALL NO.,AUTHOR,TITLE,PAGES,YEAR
TH19-00001,THESIS TH 01 C33 2019,"Caballero, Arlene M. ... [et.al.].",Point of sale and stock monitoring with barcode reader for Mapapamura ka sa Mura Shop,v.p.,2019
TH19-00002,THESIS TH 02 M66 2019,"Montejo, Aaron P. ... [et.al.].",Pet information system with billing and scheduling for Arevalo animal clinic,v.p.,2019
TH19-00003,THESIS TH 03 B47 2019,"Beroin, Eli Jr. D.",Attendance monitoring and events scheduling for christ to the philippines signal village church,v.p.,2019
TH19-00004,THESIS TH 04 J87 2019,"Justo, Coleen Joy ",Lan based patient information and appointment scheduling system for A.B Besmonte Dental Clinic with SMS Notification,v.p.,2019
TH19-00005,THESIS TH 05 C39 2019,"Cayaco, Lawrence T. ",Online job application with SMS for ETMAR logistics international corporation,v.p.,2019
TH19-00006,THESIS TH 06 A53 2019,"Ancheta, Duncan Knight D.",Patient information and billing system with SMS notification for Dr. Orquiza Eye Care Clinic,v.p.,2019
TH19-00007,THESIS TH 07 A44 2019,"Alforja, Eduard Jon J. ",The Vet in practice animal clinic mandaluyong network information system with point of sale and stock monitoring,v.p.,2019
TH19-00008,THESIS TH 08 B38 2019,"Bato, Vanessa M.",Barangay resident information system for buting pasig pasig city,v.p.,2019
TH19-00009,THESIS TH 09 E54 2019,"Enguito, Jhilee Kaye E. ",Online reservation with billing system KENPAO services,v.p.,2019
TH19-00010,THESIS TH 10 D56 2019,"Dipad, Raince D. ",Sales and product monitoring with barcode scanner for carlshleygem general merchandise,v.p.,2019
TH19-00011,THESIS TH 11 E53 2019,"Encinares, Michael Jo Arron A. ",Veterinary information system with stock monitoring for great and small veterinary clinic,v.p.,2019
TH19-00012,THESIS TH 12 D45 2019,"Delos Santos, Almanuel",Pet's information system and appointment scheduling with sms and e-mail notification for PV animal shelter veterinary clinic taguig,v.p.,2019
TH19-00013,THESIS TH 13 J39 2019,"Jayme, Janei P.",Patient information with billing and appointment scheduling for clinica Mercedes Dental clinic,v.p.,2019
TH19-00014,THESIS TH 14 C37 2019,"Casulla, Leiah T. ",Barangay Information System for Sumilang Pasig City,v.p.,2019
TH19-00015,THESIS TH 15 B83 2019,"Buado, Marlon Jr., D.",Patient information system with queueng and barcode technology for barangay upper bicutan health center,v.p.,2019
TH19-00016,THESIS TH 16 A46 2019,"Alonsagay, John Loudwig S. ",Pet information with billing system for animal shelter veterinary clinic,v.p.,2019
TH19-00017,THESIS TH 17 G37 2019,"Garcia, Stephen T. ",Patient information system with sms notification for Escueta dental clinic,v.p.,2019
TH19-00018,THESIS TH 18 F33 2019,"Faculanan, Kathleen Kaye B. ",Point of sales with product monitoring using barcode technology for Dinilo Store,v.p.,2019
TH19-00019,THESIS TH 19 R49 2019,"Reyes, Derrick Louis G.",Online reservation and billing system for grand villa pateros with emal notification,v.p.,2019
TH19-00020,THESIS TH 20 A68 2019,"Aquino, Arnold P. ",Patient information and billing system with appointment and sms notification for O2 laser skin center,v.p.,2019
TH19-00021,THESIS TH 21 A56 2019,"Anog, Philsez Rhyne S.",Operation : broken falcon a third-person tactical shooting video game,v.p.,2019
TH19-00022,THESIS TH 22 B35 2019,"Balanon, Jenalyn R. ",Patient information and appointment system with sms notification for lady of lourdes dental clinic,v.p.,2019
TH19-00023,THESIS TH 23 B55 2019,"Billones, Marielle Helena A. ",Point of sale with kitchen queueing system for calle gourmet cafe and restaurant,v.p.,2019
TH19-00024,THESIS TH 24 A38 2019,"Agulto, Jack Danielle V.","Furniture qoutation, billing and delivery scheduling with sms notification for SOFA DE ALGA",v.p.,2019
TH19-00025,THESIS TH 25 C37 2019,"Castillo, Jonna Marie C.",B Dent center corporation appointment and patient information system with billing and sms notification,v.p.,2019
TH19-00026,THESIS TH 26 C65 2019,"Coligado, Jasper Lance A. ","Residents information system with clearance and blotter for Barangay San Pedro, Pateros",v.p.,2019
TH19-00027,THESIS TH 27 B36 2019,"Bansiloy, John Cyril F.",Project-Based manpower allocation system and assessment with deployment scheduling for sixth sense integrated marketing solutions,v.p.,2019
TH19-00028,THESIS TH 28 D45 2019,"De Leon, Jorvy B. ",Scheduling of truck repair and maintenace system for InEx trucking corporation,v.p.,2019
TH19-00029,THESIS TH 29 C37 2019,"Caraig, Carlos Augustus P. ",Patient information system with medicine monitoring Mahabang Parang Angono Rizal Health Center,v.p.,2019
TH19-00030,THESIS TH 30 D53 2019,"Diaz, Aljan V. ",Patient iformation with Queueing system for Barangay West Rembo Health Center,v.p.,2019
TH19-00031,THESIS TH 31 G37 2019,"Garcia, Krizhelle S.",Point of sale with product monitoring for everzone motorshop,v.p.,2019
TH19-00032,THESIS TH 32 C67 2019,"Corti¤as, Rosslynd Jairah D. B. ",Patient information system with queueing and sms notification for aguho children's clinic,v.p.,2019
TH19-00033,THESIS TH 33 A68 2019,"Aquino, Ronaldo C. ",Point of sales and stock monitoring system for Hernandez Store with Android Application,v.p.,2019
TH19-00034,THESIS TH 34 B66 2019,"Bonifacio Jr., Ronald J. ",Salon information system with sms notification for CUT Encarnacion Group of Salon - Guadalupe Branch,v.p.,2019
TH19-00035,THESIS TH 35 G37 2019,"Gaper, Marlowe F","Point of sale and stock monitoring, queueing system for Topsilogan express",v.p.,2019
TH19-00036,THESIS TH 36 B68 2019,"Bote, Danielle R. ",Android based point of sale and online stock monitoring system for CAFE DE NILO,v.p.,2019
TH19-00037,THESIS TH 37 A68 2019,"Aquino, Mario Lorenzo A.",Customer monitoring and billing system with RFID for BOSS JOMS FITNESS GYM AND CROSS-FIT,v.p.,2019
TH19-00038,THESIS TH 38 B47 2019,"Bernal, Carlo James A.",Sales and inventory with mobile android application for yogurthy corporation,v.p.,2019
